Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron
2015-04-30,Lunch,53.3,0.7,0.2,0.3,0.0,0.0,0.0,183.3,0.0,10.3,0.2,1.3,1.3,0.0,0.0,0.0,3.3
2015-04-30,Dinner,830.0,29.0,10.0,0.0,0.0,1.0,75.0,975.0,0.0,122.0,3.0,85.0,25.0,4.0,2.0,25.0,25.0
2015-05-01,Breakfast,70.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0
2015-05-01,Lunch,345.0,10.0,1.5,1.0,0.0,0.0,0.0,360.0,0.0,54.5,1.0,18.5,9.5,0.0,0.0,6.0,10.0
2015-05-01,Snacks,88.4,0.3,0.0,0.0,0.0,0.0,0.0,24.6,255.0,20.5,3.0,13.6,2.2,10.2,126.0,3.6,3.2
2015-05-01,Dinner,1170.0,63.0,30.0,0.0,0.0,1.5,165.0,3210.0,0.0,105.0,6.0,6.0,51.0,0.0,0.0,0.0,0.0
2015-05-02,Snacks,255.4,11.3,2.1,0.0,0.0,0.0,0.0,1662.6,255.0,31.9,4.2,13.6,6.9,11.4,126.0,4.8,5.6
2015-05-02,Breakfast,295.5,3.0,2.0,0.0,1.0,0.0,0.0,345.8,0.0,58.6,2.0,17.9,6.0,50.0,0.0,40.0,90.0
2015-05-03,Snacks,240.0,12.8,3.6,2.8,5.1,0.0,76.5,69.0,183.0,0.0,0.0,0.0,20.7,3.0,0.0,1.5,6.0
2015-05-03,Dinner,1040.0,40.0,12.5,0.0,0.0,0.0,90.0,1927.5,0.0,81.0,6.0,58.5,45.0,0.0,0.0,0.0,0.0
2015-05-03,Lunch,1082.5,47.3,15.0,0.0,0.0,1.0,161.3,1877.5,0.0,122.3,4.8,77.0,47.5,10.0,8.0,30.0,25.0
2015-05-04,Lunch,707.5,15.0,7.0,0.0,0.0,0.0,40.0,3340.8,537.5,109.8,6.3,40.3,30.8,21.5,105.0,4.0,39.5
2015-05-04,Breakfast,70.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0
2015-05-04,Snacks,190.0,12.0,7.5,0.0,0.0,0.0,0.0,565.0,142.5,21.5,0.0,19.5,3.0,9.0,0.0,9.0,3.0
2015-05-04,Dinner,618.7,17.6,7.0,1.3,6.7,0.0,33.4,1760.1,366.6,106.4,5.8,54.8,13.5,41.2,248.6,25.2,13.8
2015-05-05,Lunch,1095.0,40.5,16.0,0.0,0.0,0.0,195.0,2410.0,0.0,124.0,19.5,8.5,60.5,36.0,34.0,60.0,45.0
2015-05-05,Dinner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-05,Breakfast,525.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0
2015-05-06,Lunch,505.0,10.0,1.5,1.0,0.0,0.0,0.0,420.0,0.0,97.5,1.0,59.5,9.5,0.0,0.0,6.0,10.0
2015-05-06,Breakfast,70.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0
2015-05-06,Snacks,108.5,0.5,0.1,0.1,0.0,0.0,0.0,1104.0,488.9,21.4,3.9,2.8,5.3,19.9,236.0,7.1,6.2
2015-05-06,Dinner,856.1,21.4,4.4,3.7,5.8,0.0,206.8,3167.2,446.6,110.4,2.7,39.3,62.1,10.0,10.0,2.2,20.6
2015-05-07,Snacks,320.0,16.0,10.0,0.0,0.0,0.0,0.0,150.0,190.0,43.0,0.0,28.0,6.0,12.0,0.0,12.0,4.0
2015-05-07,Dinner,382.9,14.6,5.2,2.7,3.8,0.0,52.5,1742.1,490.5,41.8,3.0,6.1,21.8,99.9,11.0,5.7,24.6
2015-05-07,Breakfast,70.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0
2015-05-07,Lunch,1070.2,62.3,30.4,3.2,11.5,0.0,241.9,1822.3,533.9,81.4,3.9,12.4,41.7,71.1,0.0,42.7,15.0
