Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron
2015-08-24,Breakfast,90.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,12.0,24.0,0.0,0.0,0.0,0.0
2015-08-24,Snacks,469.2,20.8,4.7,3.0,12.4,0.0,0.0,474.5,57.6,71.5,7.8,18.0,3.0,2.0,22.0,2.8,11.6
2015-08-25,Lunch,330.0,8.0,4.5,0.0,0.0,0.0,20.0,525.0,0.0,57.0,2.0,6.0,10.0,4.0,0.0,2.0,20.0
2015-08-25,Dinner,330.0,22.0,10.0,1.5,5.3,0.0,45.0,585.0,52.5,24.0,1.0,2.0,8.5,10.0,2.0,24.0,4.0
2015-08-25,Breakfast,90.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,12.0,24.0,0.0,0.0,0.0,0.0
2015-08-26,Lunch,600.0,27.0,9.0,1.5,12.0,0.3,20.0,505.0,0.0,54.5,8.0,13.5,15.5,2.0,1.0,6.0,6.0
2015-08-26,Dinner,1620.7,56.7,16.1,15.4,17.2,0.0,0.0,2673.5,648.4,204.3,9.4,15.3,62.9,220.3,21.0,57.1,65.4
2015-08-26,Breakfast,90.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,12.0,24.0,0.0,0.0,0.0,0.0
2015-08-27,Dinner,1399.0,50.1,19.6,0.0,0.0,3.1,128.5,2855.0,0.0,179.8,7.9,20.6,53.2,45.0,59.0,41.0,59.0
2015-08-27,Lunch,382.6,10.6,4.9,0.2,0.8,0.0,25.7,575.2,11.8,63.8,2.3,6.0,10.8,4.6,0.9,2.7,20.6
2015-08-27,Breakfast,90.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,12.0,24.0,0.0,0.0,0.0,0.0
2015-08-28,Breakfast,330.0,18.0,3.0,0.0,1.5,0.0,20.0,300.0,450.0,70.0,2.0,34.0,34.0,20.0,14.0,40.0,25.0
2015-08-28,Lunch,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-28,Snacks,259.2,13.8,4.2,2.0,7.4,0.0,0.0,184.5,52.6,33.5,1.8,0.0,2.0,0.0,0.0,0.8,7.6
2015-08-28,Dinner,500.4,25.1,5.7,6.0,5.3,0.0,45.0,1276.8,729.6,51.5,5.3,1.9,18.8,0.0,11.5,0.0,9.8
2015-08-29,Lunch,933.6,46.8,0.0,0.0,0.0,0.0,195.6,1193.8,0.0,102.8,1.0,0.0,26.3,0.0,0.0,0.0,0.0
2015-08-29,Breakfast,30.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0
2015-08-29,Dinner,200.0,15.0,9.5,0.5,0.3,0.0,45.0,295.0,47.5,8.0,0.0,1.0,7.5,10.0,0.0,24.0,2.0
2015-08-30,Breakfast,30.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0
2015-08-30,Dinner,955.4,31.9,8.6,0.6,1.6,0.0,90.0,1591.6,355.3,114.5,5.6,3.1,52.3,0.0,0.0,19.6,39.5
2015-08-30,Lunch,370.0,16.0,3.0,1.5,12.0,0.0,0.0,295.0,0.0,24.0,7.0,5.0,12.0,0.0,0.0,0.0,0.0
2015-09-01,Dinner,1262.4,21.6,0.4,0.8,0.2,0.0,0.0,437.8,742.2,186.2,12.0,16.6,86.8,234.0,50.2,10.8,52.4
2015-09-01,Breakfast,30.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0
2015-09-02,Dinner,1405.4,33.2,10.4,0.4,0.4,0.0,320.0,320.0,161.8,159.6,1.6,0.0,97.2,8.0,16.0,17.6,70.2
2015-09-02,Breakfast,205.0,7.5,1.5,0.0,0.8,0.0,10.0,235.0,250.0,40.0,2.0,20.0,14.0,15.0,12.0,25.0,25.0
2015-09-08,Snacks,268.7,6.1,3.1,0.2,1.4,0.0,19.5,326.7,432.7,40.7,2.7,25.6,10.8,22.5,14.1,41.8,33.7
2015-09-08,Breakfast,30.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0
2015-09-08,Lunch,184.9,1.0,0.3,0.3,0.0,0.0,0.0,5.5,527.2,47.3,2.5,44.9,1.7,5.5,18.4,3.9,4.4
2015-09-09,Snacks,321.0,8.4,2.5,2.1,3.7,0.0,9.8,410.0,293.0,55.7,4.0,24.2,6.0,24.6,20.4,34.3,50.2
2015-09-09,Dinner,180.0,15.0,10.5,0.0,0.0,0.0,60.0,45.0,0.0,3.0,0.0,3.0,3.0,12.0,0.0,6.0,0.0
2015-09-09,Breakfast,110.0,7.0,1.8,0.0,0.0,0.0,10.0,120.0,0.0,22.0,0.0,5.0,10.5,2.0,3.0,3.0,3.0
2015-09-11,Breakfast,160.0,5.0,0.0,0.0,0.0,0.0,0.0,150.0,82.5,44.5,0.0,24.0,10.0,0.0,0.0,6.0,4.0
2015-09-11,Lunch,230.0,4.0,1.0,0.5,1.0,0.0,0.0,240.0,82.5,49.5,1.0,27.0,5.0,0.0,0.0,16.0,6.0
2015-09-12,Breakfast,290.0,17.0,1.5,0.0,0.0,0.0,5.0,200.0,0.0,45.0,1.0,25.0,13.0,0.0,0.0,14.0,12.0
2015-09-12,Lunch,181.4,0.3,0.1,0.1,0.1,0.0,0.0,0.0,40.5,39.9,0.4,0.0,3.3,0.0,0.0,0.4,11.5
2015-09-12,Snacks,422.5,17.8,10.3,0.0,0.0,0.6,50.0,251.3,260.0,65.8,1.3,51.8,5.3,8.0,0.0,16.0,7.5
2015-09-12,Dinner,780.0,23.0,7.5,0.0,0.0,0.0,50.0,1430.0,0.0,121.0,9.0,35.0,25.0,4.0,0.0,14.0,40.0
2015-09-16,Breakfast,30.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0
2015-09-22,Dinner,597.6,20.0,7.5,5.6,4.9,0.0,83.7,1750.9,653.4,72.0,5.7,11.3,32.9,93.1,3.9,33.1,12.2
